_key,"Project meeting (backlog grooming, non SCRUM liturgies)","Company initatives (Task forces, HWH, Halogen, TEDx, QA meetings, etc)",Infrastructure,Support,SCRUM management,"SCRUM liturgies (Reviews, Stand up, Plannings and Retrospective meetings)",Project documentation,"Project status update (review mail after holidays, etc)","Company meeting (Town hall, etc)",Other,Project training,"Company issue (Fire alarm, etc)",LAB maintenance,"Defect management (estimations, defect disposition meetings, etc)",Retrospective actions
Sprint 168,10.366666666666667,10.166666666666668,6.833333333333333,26.53333333333333,0.08333333333333333,12.166666666666668,13.5,,,,,,,,
Sprint 167,12,31.416666666666668,2,22,,25,23.75,0.6666666666666666,,,,,,,
Sprint 166,11.083333333333334,28.583333333333332,18.75,24.916666666666668,16.416666666666664,35.75,14.083333333333334,3,5,,,,,,
Sprint 165,13,40.91666666666667,9.5,14.333333333333332,3,44.833333333333336,24.75,4.5,,3.25,0.75,1,2.75,,
Sprint 164,8.166666666666668,7.583333333333334,5.5,18.999999999999996,8.516666666666666,57.58333333333333,9.5,3,,25.166666666666664,,,,,
Sprint 163,6.166666666666667,30.583333333333332,,6.25,2,27.333333333333332,27.833333333333336,,5.083333333333333,,,12,0.6666666666666666,,
Sprint 162,7.75,5.25,0.75,3.75,2,45.75000000000001,29.416666666666668,,,,,,0.5,,
Sprint 161,15.666666666666666,32.666666666666664,0.8333333333333334,32.416666666666664,3,39.36666666666667,25.25,2.5,2,,,0.75,1,1.5,
Sprint 160,7.166666666666666,19.5,9.25,14.666666666666666,,38.25,19.416666666666664,0.5,,1.1666666666666665,2,,1.75,,
Sprint 159,11,47.25,1.75,5.25,4.5,24.916666666666664,25.666666666666668,1,12.25,,6,0.16666666666666666,,,
Sprint 158,15.416666666666666,20.5,32.83333333333333,20.333333333333336,7.5,51.91666666666667,16.333333333333332,,11.25,6,8,,1.1666666666666667,,
Sprint 157,10.5,43.333333333333336,2.25,5.083333333333333,2,37.083333333333336,13.083333333333334,4.5,1,,2,,0.5,,
Sprint 156,39,67.35000000000001,2.75,111.76666666666667,2,27.5,18.066666666666666,1,,,7.166666666666667,,,,
Sprint 155,27.250000000000004,16.166666666666664,17.083333333333336,10.666666666666666,8,36.916666666666664,0.3333333333333333,8.5,2.25,2,24.583333333333332,,0.5,,
Sprint 154,9.583333333333334,29.583333333333332,,6.833333333333333,0.5,42.349999999999994,15.833333333333334,1.5,,,14.016666666666667,,,,0.5
Sprint 153,10.75,9,0.75,9.583333333333332,3,27.083333333333336,16.083333333333336,,,,6.5,,1.6666666666666667,,
Sprint 152,10.583333333333334,37.08333333333333,13.5,10.333333333333332,2,41.75,6.5,0.5,1.5833333333333333,,0.5,,0.5,3,
Sprint 151,7.416666666666667,77.41666666666667,5,5,15.25,39.5,4.75,0.5,,5,,,,,
Sprint 150,17.28333333333333,58.199999999999996,9.333333333333334,10.75,8.666666666666666,41.583333333333336,18.833333333333336,,,,,,1.25,0.5,
Sprint 149,17.6,35.91666666666667,3.75,6.75,9,68.33333333333334,7.083333333333333,,1.9166666666666667,,,,,0.6666666666666666,
Sprint 148,9.75,70.25,2.75,11.583333333333332,7.083333333333334,47.833333333333336,1.1666666666666665,,4.083333333333333,,5.183333333333334,,1.5,1.5,
Sprint 147,5.666666666666667,27.166666666666664,4.166666666666667,15.166666666666664,13.75,74.25,4.25,4.75,,,,,3.5,,
Sprint 146,4.25,25.166666666666668,2,4.583333333333333,9.916666666666668,63.516666666666666,4.833333333333333,8.916666666666668,0.6666666666666666,,7.5,,,,
Sprint 145,21,23,6.916666666666667,10.166666666666666,15.75,68.58333333333333,31.833333333333336,5.75,,,18.416666666666664,,1.4166666666666667,1.75,
Sprint 144,13.5,35.16666666666667,11.166666666666666,7,12,62.83333333333333,1.25,0.75,1,,3.9166666666666665,,,6.75,
Sprint 143,8.25,24.583333333333332,8.916666666666668,1.5,3,60.58333333333333,1.4166666666666667,3.75,12.5,,,,,,
Sprint 142,12.966666666666667,27.916666666666668,14.166666666666668,4,9,52.91666666666667,0.9166666666666666,2.25,,1.5,,,,2.833333333333333,
Sprint 141,12.083333333333334,21.333333333333332,8.166666666666668,9.75,5.25,62.41666666666667,1.8333333333333333,2.0833333333333335,9.25,,4,,,0.5,
Sprint 140,6.416666666666667,33.91666666666667,2.9166666666666665,2,14.333333333333332,71.5,7.75,1.8333333333333335,,,9.25,,,0.6666666666666666,
Sprint 139,9.166666666666668,36.416666666666664,19.666666666666668,1.25,6.833333333333334,50.75,3.25,1,,2,28,,,,1
Sprint 138,,16.583333333333336,11.25,13.5,3.333333333333333,41,5.25,2.5833333333333335,,,,,9,,
Sprint 137,,10.75,2.5,4,2.5,11.333333333333334,4.833333333333334,2.3333333333333335,,,8,,9.5,,
Sprint 136,8.166666666666666,55.083333333333336,8.583333333333332,4.5,4,25.91666666666667,6.666666666666666,7.416666666666667,,1,19,,1.5,,
Sprint 135,7.416666666666666,33.43333333333333,1,9.583333333333332,6,30.666666666666668,2,2.083333333333333,1.6666666666666667,2,2.75,,0.75,2,
Sprint 134,14.483333333333333,20,15.416666666666666,3.216666666666667,8.583333333333334,25.433333333333334,3.6666666666666665,3.25,1,1.25,8,1.25,1.5833333333333333,2.5,
Sprint 133,11.25,30.416666666666668,7.833333333333333,8.416666666666666,4.416666666666666,72.06666666666666,0.3333333333333333,5,1.5833333333333333,2,,,4.083333333333334,2.5,
Sprint 132,2.083333333333333,11.333333333333334,11.833333333333334,22.166666666666668,2.5,26.916666666666664,3.0833333333333335,1,,,3.25,,4.583333333333333,1,
Sprint 131,13.5,21.083333333333332,19.666666666666668,34.41666666666667,3,38.75,4.583333333333333,3,,0.16666666666666666,6.083333333333333,,3.1666666666666665,2.25,
Sprint 130,1.75,25.916666666666668,3.05,7.766666666666666,4,25.666666666666664,1,15.666666666666666,,,,,8.083333333333334,1.8,
